id,Manufacturer,URL,Model,Model Variant,CarStatus,Year,Price,Engine Size,ValuationPercentage,ValuationRange,Mileage,Body Type,Transmission,Fuel,Color,Doors,Reg,DateUpdated,OldPrice,OldDate,NumberOfPriceReductions,NumberReserved,DateCarAdded,DaysAdded
39,BMW,https://www.cargiant.co.uk/car/BMW/2-Series/YG66ECN,218i,Sport,Available,2016,10799,1.5,,,69006,Coupe,Manual,Petrol,Met Grey,N/A,YG66ECN,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
40,BMW,https://www.cargiant.co.uk/car/BMW/2-Series/FH18BGO,218D,SE,Available,2018,10999,2.0,,,76017,Coupe,Manual,Diesel,Mineral Grey,N/A,FH18BGO,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
41,BMW,https://www.cargiant.co.uk/car/BMW/2-Series/MF17SSK,218i,M Sport,Available,2017,11799,1.5,,,60078,Coupe,Manual,Petrol,Alpine White,N/A,MF17SSK,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
42,BMW,https://www.cargiant.co.uk/car/BMW/2-Series/LS66NZE,218i,Sport,Available,2016,12499,1.5,,,48610,Cabriolet / Convertible,Manual,Petrol,Silver,N/A,LS66NZE,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
59,BMW,https://www.cargiant.co.uk/car/BMW/318i/YA67AOC,318i,SE,Available,2017,12999,1.5,,,72396,Saloon,Auto,Petrol,Blue,N/A,YA67AOC,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
60,BMW,https://www.cargiant.co.uk/car/BMW/318i/LC67USU,318i,Sport,Available,2017,12999,1.5,,,67202,Saloon,Auto,Petrol,Met Red,N/A,LC67USU,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
43,BMW,https://www.cargiant.co.uk/car/BMW/2-Series/MD69CNX,218i,M Sport,Available,2020,14799,1.5,,,66670,Cabriolet / Convertible,Manual,Petrol,Black,N/A,MD69CNX,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
109,BMW,https://www.cargiant.co.uk/car/BMW/518D/YD65VYE,518D,M Sport,Available,2015,14999,2.0,,,39216,Saloon,Auto,Diesel,Met Grey,N/A,YD65VYE,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
45,BMW,https://www.cargiant.co.uk/car/BMW/2-Series/DX69GKG,218i,M Sport,Available,2019,15799,1.5,,,19363,Coupe,Manual,Petrol,Met Red,N/A,DX69GKG,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
47,BMW,https://www.cargiant.co.uk/car/BMW/2-Series/GV67BUA,218D,M Sport,Available,2018,15999,2.0,,,47100,Coupe,Auto,Diesel,Met Grey,N/A,GV67BUA,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
66,BMW,https://www.cargiant.co.uk/car/BMW/330e/OE67CVY,330e,M Sport Shadow Edition,Available,2017,15999,2.0,,,69066,Saloon,Auto,Hybrid,Grey,N/A,OE67CVY,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
31,BMW,https://www.cargiant.co.uk/car/BMW/420D/SN18YFZ,420D,M Sport,Available,2018,16799,2.0,,,49886,Coupe,Auto,Diesel,Glacier Silver,N/A,SN18YFZ,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
48,BMW,https://www.cargiant.co.uk/car/BMW/2-Series/FG18LNU,218i,Sport,Available,2018,16999,1.5,,,25130,Cabriolet / Convertible,Auto,Petrol,Red,N/A,FG18LNU,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
70,BMW,https://www.cargiant.co.uk/car/BMW/330e/RO18UTU,330e,M Sport Shadow Edition,Available,2018,17499,2.0,,,54989,Saloon,Auto,Hybrid,White,N/A,RO18UTU,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
71,BMW,https://www.cargiant.co.uk/car/BMW/320D/WT19VLK,320D,SE,Available,2019,17499,2.0,,,73446,Saloon,Auto,Diesel,Black,N/A,WT19VLK,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
32,BMW,https://www.cargiant.co.uk/car/BMW/430D/MM68GYK,430D,M Sport Gran Coupe,Available,2018,17799,3.0,,,70530,Coupe,Auto,Diesel,Met Grey,N/A,MM68GYK,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
72,BMW,https://www.cargiant.co.uk/car/BMW/320D/HN67LRU,320D,GT M Sport Gran Turismo,Available,2017,17799,2.0,,,37727,Hatch,Auto,Diesel,Met Grey,5,HN67LRU,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
33,BMW,https://www.cargiant.co.uk/car/BMW/420i/YH19KYT,420i,xDrive Sport,Available,2019,18499,2.0,,,35604,Coupe,Auto,Petrol,White,N/A,YH19KYT,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
115,BMW,https://www.cargiant.co.uk/car/BMW/530e/RX68RLV,530e,SE PHEV,Available,2018,18499,2.0,,,61484,Saloon,Auto,Hybrid,Met Blue,N/A,RX68RLV,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
34,BMW,https://www.cargiant.co.uk/car/BMW/420D/HS18DFL,420D,M Sport Gran Coupe,Available,2018,18799,2.0,,,45693,Coupe,Auto,Diesel,White,N/A,HS18DFL,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
35,BMW,https://www.cargiant.co.uk/car/BMW/420i/SB19TXS,420i,M Sport Gran Coupe,Available,2019,18799,2.0,,,36516,Coupe,Auto,Petrol,Met Grey,N/A,SB19TXS,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
120,BMW,https://www.cargiant.co.uk/car/BMW/530e/LF68YCA,530e,SE PHEV,Available,2018,19299,2.0,,,43851,Saloon,Auto,Hybrid,Blue,N/A,LF68YCA,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
121,BMW,https://www.cargiant.co.uk/car/BMW/530e/KV68LWY,530e,M Sport PHEV,Available,2018,19299,2.0,,,72605,Saloon,Auto,Hybrid,Blue,N/A,KV68LWY,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
123,BMW,https://www.cargiant.co.uk/car/BMW/520D/KX19YAG,520D,M Sport,Available,2019,19499,2.0,,,74722,Saloon,Auto,Diesel,Blue,N/A,KX19YAG,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
125,BMW,https://www.cargiant.co.uk/car/BMW/530e/RJ18WTE,530e,M Sport PHEV,Available,2018,19499,2.0,,,64067,Saloon,Auto,Hybrid,Blue,N/A,RJ18WTE,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
49,BMW,https://www.cargiant.co.uk/car/BMW/2-Series/HK21JZJ,218i,M Sport Gran Coupe,Available,2021,19799,1.5,,,36660,Coupe,Manual,Petrol,Blue,N/A,HK21JZJ,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
126,BMW,https://www.cargiant.co.uk/car/BMW/520D/LP19LKA,520D,SE,Available,2019,19999,2.0,,,28441,Saloon,Auto,Diesel,Sophisto Grey,N/A,LP19LKA,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
127,BMW,https://www.cargiant.co.uk/car/BMW/530e/OU68MFV,530e,M Sport PHEV,Available,2018,20299,2.0,,,69652,Saloon,Auto,Hybrid,White,N/A,OU68MFV,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
128,BMW,https://www.cargiant.co.uk/car/BMW/530D/MW18TXY,530D,M Sport,Available,2018,20499,3.0,,,75437,Saloon,Auto,Diesel,Blue,N/A,MW18TXY,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
129,BMW,https://www.cargiant.co.uk/car/BMW/520i/MC19ZSE,520i,M Sport,Available,2019,20499,2.0,,,63627,Saloon,Auto,Petrol,Met Grey,N/A,MC19ZSE,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
130,BMW,https://www.cargiant.co.uk/car/BMW/530e/SJ68XNZ,530e,M Sport PHEV,Available,2018,20799,2.0,,,48600,Saloon,Auto,Hybrid,Black,N/A,SJ68XNZ,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
131,BMW,https://www.cargiant.co.uk/car/BMW/520D/FG69FUJ,520D,M Sport,Available,2019,20999,2.0,,,63079,Saloon,Auto,Diesel,Black Sapphire,N/A,FG69FUJ,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
132,BMW,https://www.cargiant.co.uk/car/BMW/520i/RJ18UGX,520i,M Sport,Available,2018,20999,2.0,,,37614,Saloon,Auto,Petrol,Alpine White,N/A,RJ18UGX,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
133,BMW,https://www.cargiant.co.uk/car/BMW/530e/AJ68OND,530e,M Sport PHEV,Available,2018,20999,2.0,,,59910,Saloon,Auto,Hybrid,Black,N/A,AJ68OND,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
134,BMW,https://www.cargiant.co.uk/car/BMW/530e/MF68YHJ,530e,M Sport PHEV,Available,2018,20999,2.0,,,57595,Saloon,Auto,Hybrid,Blue,N/A,MF68YHJ,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
135,BMW,https://www.cargiant.co.uk/car/BMW/530e/JGZ3345,530e,M Sport PHEV,Available,2018,21499,2.0,,,40508,Saloon,Auto,Hybrid,Black,N/A,JGZ3345,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
52,BMW,https://www.cargiant.co.uk/car/BMW/640i/HY67OWM,640i,M Sport,Available,2017,21799,3.0,,,64963,Cabriolet / Convertible,Auto,Petrol,Black,N/A,HY67OWM,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
37,BMW,https://www.cargiant.co.uk/car/BMW/420i/YH20WUJ,420i,M Sport Gran Coupe,Available,2020,21999,2.0,,,15506,Coupe,Auto,Petrol,Met Grey,N/A,YH20WUJ,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
136,BMW,https://www.cargiant.co.uk/car/BMW/730D/PJ66COH,730D,M Sport,Available,2016,22299,3.0,,,72288,Saloon,Auto,Diesel,Silver,N/A,PJ66COH,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
50,BMW,https://www.cargiant.co.uk/car/BMW/2-Series/MT20AOP,218i,M Sport Gran Coupe,Available,2020,23499,1.5,,,19821,Saloon,Auto,Petrol,White,N/A,MT20AOP,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
2,Lexus,https://www.cargiant.co.uk/car/Lexus/IS-300H/CF17FSL,IS 300H,Executive Edition,Available,2017,14999,2.5,,,61995,Saloon,Auto,Hybrid,Met Grey,N/A,CF17FSL,16:13 21/09/2023,0,,0,0,2023-09-21,0.0
4,Lexus,https://www.cargiant.co.uk/car/Lexus/CT-200h/MH19OYZ,CT 200h,,Available,2019,16499,1.8,,,23456,Hatch,Auto,Hybrid,Red,5,MH19OYZ,16:13 21/09/2023,0,,0,0,2023-09-21,0.0
5,Lexus,https://www.cargiant.co.uk/car/Lexus/CT-200h/YE69JJX,CT 200h,,Available,2019,16799,1.8,,,42205,Hatch,Auto,Hybrid,Blue,5,YE69JJX,16:13 21/09/2023,0,,0,0,2023-09-21,0.0
7,Lexus,https://www.cargiant.co.uk/car/Lexus/CT-200h/WN70OPE,CT 200h,E-CVT,Available,2020,17499,1.8,,,24404,Hatch,Auto,Hybrid,Grey,5,WN70OPE,16:13 21/09/2023,0,,0,0,2023-09-21,0.0
10,Lexus,https://www.cargiant.co.uk/car/Lexus/IS-300H/DE19XJW,IS 300H,Sport,Available,2019,18499,2.5,,,36954,Saloon,Auto,Hybrid,Met Grey,N/A,DE19XJW,16:13 21/09/2023,0,,0,0,2023-09-21,0.0
13,Lexus,https://www.cargiant.co.uk/car/Lexus/CT-200h/DA20AXR,CT 200h,F Sport,Available,2020,18999,1.8,,,14805,Hatch,Auto,Hybrid,Black,5,DA20AXR,16:13 21/09/2023,0,,0,0,2023-09-21,0.0
