id,Manufacturer,URL,Model,Model Variant,CarStatus,Year,Price,Engine Size,ValuationPercentage,ValuationRange,Mileage,Body Type,Transmission,Fuel,Color,Doors,Reg,DateUpdated,OldPrice,OldDate,NumberOfPriceReductions,NumberReserved,DateCarAdded,DaysAdded
38,BMW,https://www.cargiant.co.uk/car/BMW/218D/KY67EKC,218D,Sport,AVAILABLE IN 4 DAYS,2017,10499,2.0,,,78334,Coupe,Manual,Diesel,White,N/A,KY67EKC,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
55,BMW,https://www.cargiant.co.uk/car/BMW/316D/HN67CEJ,316D,SE,Reserved,2017,10499,2.0,,,69400,Saloon,Manual,Diesel,Met Grey,N/A,HN67CEJ,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
58,BMW,https://www.cargiant.co.uk/car/BMW/320D/LS16ULT,320D,EfficientDynamics Plus,AVAILABLE IN 4 DAYS,2016,12499,2.0,,,58492,Saloon,Auto,Diesel,White,N/A,LS16ULT,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
27,BMW,https://www.cargiant.co.uk/car/BMW/420i/HX66ZSW,420i,SE Gran Coupe,AVAILABLE IN 5 DAYS,2016,13799,2.0,,,53650,Coupe,Auto,Petrol,Black,N/A,HX66ZSW,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
61,BMW,https://www.cargiant.co.uk/car/BMW/320i/LR17RJO,320i,Sport,AVAILABLE IN 5 DAYS,2017,14299,2.0,,,54622,Saloon,Auto,Petrol,Met Grey,N/A,LR17RJO,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
28,BMW,https://www.cargiant.co.uk/car/BMW/420i/YF17WNW,420i,Sport,Reserved,2017,14499,2.0,,,37147,Coupe,Auto,Petrol,Met Grey,N/A,YF17WNW,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
63,BMW,https://www.cargiant.co.uk/car/BMW/330e/PE18YDH,330e,M Sport PHEV,AVAILABLE IN 5 DAYS,2018,14799,2.0,,,78509,Saloon,Auto,Hybrid,Blue,N/A,PE18YDH,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
44,BMW,https://www.cargiant.co.uk/car/BMW/2-Series/EU68XKV,220D,Sport,AVAILABLE IN 2 DAYS,2018,14999,2.0,,,28824,Cabriolet / Convertible,Manual,Diesel,Met Grey,N/A,EU68XKV,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
64,BMW,https://www.cargiant.co.uk/car/BMW/318i/YD68TEF,318i,SE,AVAILABLE IN 5 DAYS,2019,14999,1.5,,,48381,Saloon,Auto,Petrol,Black,N/A,YD68TEF,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
29,BMW,https://www.cargiant.co.uk/car/BMW/420D/G4GDX,420D,M Sport,AVAILABLE IN 5 DAYS,2017,15499,2.0,,,74911,Coupe,Auto,Diesel,Black,N/A,G4GDX,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
30,BMW,https://www.cargiant.co.uk/car/BMW/420i/LV17FSL,420i,M Sport,AVAILABLE IN 6 DAYS,2017,16499,2.0,,,45597,Coupe,Auto,Petrol,White,N/A,LV17FSL,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
111,BMW,https://www.cargiant.co.uk/car/BMW/520D/RV16SXD,520D,M Sport,Reserved,2016,16499,2.0,,,42344,Hatch,Auto,Diesel,Black,5,RV16SXD,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
117,BMW,https://www.cargiant.co.uk/car/BMW/530e/RV68HCD,530e,SE PHEV,AVAILABLE IN 4 DAYS,2018,18499,2.0,,,68155,Saloon,Auto,Hybrid,Met Grey,N/A,RV68HCD,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
81,BMW,https://www.cargiant.co.uk/car/BMW/318D/LG70UYD,318D,SE MHEV,AVAILABLE IN 4 DAYS,2020,18799,2.0,,,59824,Saloon,Auto,Hybrid,Silver,N/A,LG70UYD,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
119,BMW,https://www.cargiant.co.uk/car/BMW/520D/LS20KXF,520D,SE MHEV,AVAILABLE IN 2 DAYS,2020,18999,2.0,,,75002,Saloon,Auto,Hybrid,Black Sapphire,N/A,LS20KXF,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
124,BMW,https://www.cargiant.co.uk/car/BMW/520D/LC67NUO,520D,M Sport,AVAILABLE IN 4 DAYS,2017,19499,2.0,,,53121,Saloon,Auto,Diesel,Met Dk Blue,N/A,LC67NUO,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
36,BMW,https://www.cargiant.co.uk/car/BMW/420D/YE19NKC,420D,M Sport,AVAILABLE IN 5 DAYS,2019,19999,2.0,,,37097,Cabriolet / Convertible,Auto,Diesel,Black,N/A,YE19NKC,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
137,BMW,https://www.cargiant.co.uk/car/BMW/730D/WG17ZNS,730D,M Sport,AVAILABLE IN 5 DAYS,2017,22799,3.0,,,74668,Saloon,Auto,Diesel,Met Grey,N/A,WG17ZNS,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
