id,Manufacturer,Model,Year,Price,Body Type,Transmission,Fuel,Color,Mileage,Doors,Reg,URL,DateUpdated,OldPrice,OldDate,NumberOfPriceReductions,CarStatus,NumberReserved
9,BMW,330e,2016,11999,Saloon,Auto,Hybrid,Blue,76447,N/A,AU66RZJ,https://www.cargiant.co.uk/car/BMW/330e/AU66RZJ,2023-09-09 12:19:50.808414,0,,0,,0
16,BMW,318i,2017,12999,Saloon,Auto,Petrol,Blue,72396,N/A,YA67AOC,https://www.cargiant.co.uk/car/BMW/318i/YA67AOC,2023-09-09 12:19:50.825915,0,,0,AVAILABLE IN 5 DAYS,0
19,BMW,330e,2017,13299,Saloon,Auto,Hybrid,Black,69386,N/A,AJ17XGH,https://www.cargiant.co.uk/car/BMW/330e/AJ17XGH,2023-09-09 12:19:50.837414,0,,0,Reserved,0
28,BMW,420i,2017,14499,Coupe,Auto,Petrol,Met Grey,37147,N/A,YF17WNW,https://www.cargiant.co.uk/car/BMW/420i/YF17WNW,2023-09-09 12:19:50.863415,0,,0,AVAILABLE IN 5 DAYS,0
35,BMW,530D,2016,14999,Saloon,Auto,Diesel,Met Grey,74518,N/A,YT66YDW,https://www.cargiant.co.uk/car/BMW/530D/YT66YDW,2023-09-09 12:19:50.881415,0,,0,,0
36,BMW,218i,2019,14999,Coupe,Manual,Petrol,White,13869,N/A,SN19KLB,https://www.cargiant.co.uk/car/BMW/218i/SN19KLB,2023-09-09 12:19:50.884416,0,,0,,0
44,BMW,X2,2018,15499,Hatch,Manual,Diesel,Black,60366,5,WP68UVA,https://www.cargiant.co.uk/car/BMW/X2/WP68UVA,2023-09-09 12:19:50.904916,0,,0,,0
48,BMW,420D,2017,15799,Coupe,Auto,Diesel,Blue,71178,N/A,HN67LXH,https://www.cargiant.co.uk/car/BMW/420D/HN67LXH,2023-09-09 12:19:50.914913,0,,0,,0
51,BMW,318D,2020,15999,Saloon,Manual,Diesel,Silver,79904,N/A,YB69VNR,https://www.cargiant.co.uk/car/BMW/318D/YB69VNR,2023-09-09 12:19:50.922414,0,,0,,0
55,BMW,320i,2017,15999,Saloon,Auto,Petrol,Black,31629,N/A,MM17SSV,https://www.cargiant.co.uk/car/BMW/320i/MM17SSV,2023-09-09 12:19:50.932415,0,,0,,0
52,BMW,330e,2018,15999,Saloon,Auto,Hybrid,Blue,53500,N/A,RX18OAB,https://www.cargiant.co.uk/car/BMW/330e/RX18OAB,2023-09-09 12:19:50.924416,0,,0,AVAILABLE IN 2 DAYS,0
59,BMW,330D,2018,16299,Saloon,Auto,Diesel,Black,75886,N/A,ST67ZFF,https://www.cargiant.co.uk/car/BMW/330D/ST67ZFF,2023-09-09 12:19:50.942914,0,,0,,0
