id,Manufacturer,Model,Year,Price,Body Type,Transmission,Fuel,Color,Mileage,Doors,Reg,URL,DateUpdated,OldPrice,OldDate,NumberOfPriceReductions,CarStatus,NumberReserved,ValuationPercentage,ValuationRange
3,BMW,116D,2015,9999,Hatch,Auto,Diesel,Glacier Silver,62296,3,EY65CGF,https://www.cargiant.co.uk/car/BMW/116D/EY65CGF,2023-09-05 15:33:26.237704,0,,0,Sold,0,70.0,£7620 - £10995
4,BMW,116D,2019,10999,Hatch,Manual,Diesel,White,75712,5,KO19GFE,https://www.cargiant.co.uk/car/BMW/116D/KO19GFE,2023-09-05 15:33:26.239663,0,,0,Sold,0,9.0,£10454 - £16000
317,BMW,520D,2016,11299,Saloon,Auto,Diesel,White,78696,N/A,MW16ZWD,https://www.cargiant.co.uk/car/BMW/520D/MW16ZWD,2023-09-05 19:09:51.960729,0,,0,Sold,1,6.0,£10995 - £15581
5,BMW,320D,2015,11499,Saloon,Manual,Diesel,White,82349,N/A,SM65YTX,https://www.cargiant.co.uk/car/BMW/320D/SM65YTX,2023-09-05 15:33:26.241537,0,,0,Sold,0,37.0,£9395 - £14995
356,BMW,X1,2016,11799,SUV,Manual,Diesel,Alpine White,74855,N/A,FG66MPZ,https://www.cargiant.co.uk/car/BMW/X1/FG66MPZ,2023-09-06 16:38:43.512579,0,,0,Sold,1,-19.0,£12495 - £15995
468,BMW,330e,2016,12299,Saloon,Auto,Hybrid,White,70585,N/A,ND66BYB,https://www.cargiant.co.uk/car/BMW/330e/ND66BYB,2023-09-11 13:15:17.108513,0,,0,Sold,2,-3725.0,£14199 - £14250
11,BMW,116D,2019,12999,Hatch,Manual,Diesel,White,59552,5,HK19NWD,https://www.cargiant.co.uk/car/BMW/116D/HK19NWD,2023-09-05 15:33:26.251834,0,,0,Sold,0,50.0,£9975 - £16000
529,BMW,116D,2018,12999,Hatch,Auto,Diesel,Met Grey,68724,5,GU68ULB,https://www.cargiant.co.uk/car/BMW/116D/GU68ULB,2023-09-13 08:15:14.830936,0,,0,Sold,1,68.0,£8650 - £14990
370,BMW,118i,2019,13299,Hatch,Manual,Petrol,White,84984,5,PX19JFO,https://www.cargiant.co.uk/car/BMW/118i/PX19JFO,2023-09-07 11:35:41.078554,0,,0,Sold,0,48.0,£10800 - £16000
14,BMW,330e,2017,13299,Saloon,Auto,Hybrid,Black,69379,N/A,AJ17XGH,https://www.cargiant.co.uk/car/BMW/330e/AJ17XGH,2023-09-05 15:33:26.257181,0,,0,Sold,1,8.0,£12995 - £16498
429,BMW,118i,2018,13799,Hatch,Manual,Petrol,White,23063,5,AP18PLF,https://www.cargiant.co.uk/car/BMW/118i/AP18PLF,2023-09-08 15:36:11.544530,0,,0,Sold,0,5.0,£13495 - £18995
18,BMW,2 Series,2018,13799,Coupe,Auto,Diesel,Black,64310,N/A,LK68VPL,https://www.cargiant.co.uk/car/BMW/2-Series/LK68VPL,06/09/2023,13999,2023-09-05 15:33:26.264774,1,Sold,1,50.0,£10000 - £17498
469,BMW,2 Series Tourer,2018,13799,MPV,Auto,Hybrid,White,73988,N/A,FJ68RLX,https://www.cargiant.co.uk/car/BMW/2-Series-Tourer/FJ68RLX,2023-09-11 13:15:17.129751,0,,0,Sold,3,,
574,BMW,2 Series Tourer,2018,13999,MPV,Manual,Petrol,Red,23194,N/A,FG68LMK,https://www.cargiant.co.uk/car/BMW/2-Series-Tourer/FG68LMK,2023-09-14 14:11:45.633143,0,,0,Sold,0,,
23,BMW,320D,2017,14499,Saloon,Auto,Diesel,Black,60221,N/A,NK67NHH,https://www.cargiant.co.uk/car/BMW/320D/NK67NHH,07/09/2023,14799,2023-09-05 15:33:26.273663,1,Sold,0,36.0,£12250 - £18490
324,BMW,X1,2018,14799,SUV,Auto,Diesel,Met Grey,84306,N/A,CV18YZJ,https://www.cargiant.co.uk/car/BMW/X1/CV18YZJ,11/09/2023,14999,2023-09-06 08:15:11.140981,1,Sold,0,51.0,£12989 - £16500
29,BMW,118i,2019,14999,Hatch,Manual,Petrol,Black,39446,5,YC19VGY,https://www.cargiant.co.uk/car/BMW/118i/YC19VGY,2023-09-05 15:33:26.284596,0,,0,Sold,0,17.0,£14379 - £17995
30,BMW,118i,2019,14999,Hatch,Auto,Petrol,Black,79562,5,FE69XSW,https://www.cargiant.co.uk/car/BMW/118i/FE69XSW,06/09/2023,15299,2023-09-05 15:33:26.286804,1,Sold,0,52.0,£12800 - £16990
358,BMW,118i,2019,14999,Hatch,Auto,Petrol,Jet Black,30704,5,VF19YSC,https://www.cargiant.co.uk/car/BMW/118i/VF19YSC,2023-09-06 16:38:43.591663,0,,0,Sold,1,44.0,£13015 - £17500
539,BMW,2 Series Tourer,2018,14999,MPV,Auto,Hybrid,Met Blue,56740,N/A,SJ68KGN,https://www.cargiant.co.uk/car/BMW/2-Series-Tourer/SJ68KGN,2023-09-13 13:15:34.024079,0,,0,Sold,0,,
27,BMW,520D,2016,14999,Saloon,Auto,Diesel,Black,52428,N/A,AJ66DJV,https://www.cargiant.co.uk/car/BMW/520D/AJ66DJV,2023-09-05 15:33:26.280590,0,,0,Sold,1,68.0,£10999 - £16800
28,BMW,X1,2017,14999,SUV,Auto,Diesel,Grey,47750,N/A,RE17GXN,https://www.cargiant.co.uk/car/BMW/X1/RE17GXN,2023-09-05 15:33:26.282752,0,,0,Sold,0,23.0,£13495 - £19790
31,BMW,X2,2019,15299,SUV,Auto,Petrol,Black Sapphire,74906,N/A,PJ19WJV,https://www.cargiant.co.uk/car/BMW/X2/PJ19WJV,2023-09-05 15:33:26.288909,0,,0,Sold,0,1.0,£15250 - £19750
35,BMW,X2,2019,15499,SUV,Manual,Diesel,Black,53618,N/A,RY19CNX,https://www.cargiant.co.uk/car/BMW/X2/RY19CNX,13/09/2023,15799,2023-09-05 15:33:26.295972,1,Sold,0,-40.0,£17500 - £22480
36,BMW,118i,2019,15799,Hatch,Auto,Petrol,Black,28777,5,GY19NKX,https://www.cargiant.co.uk/car/BMW/118i/GY19NKX,2023-09-05 15:33:26.298093,0,,0,Sold,0,46.0,£13015 - £18998
38,BMW,330e,2017,15799,Saloon,Auto,Hybrid,Met Grey,58100,N/A,OE67JWP,https://www.cargiant.co.uk/car/BMW/330e/OE67JWP,2023-09-05 15:33:26.301263,0,,0,Sold,1,78.0,£11500 - £16995
37,BMW,420D,2017,15799,Coupe,Auto,Diesel,Blue,71178,N/A,HN67LXH,https://www.cargiant.co.uk/car/BMW/420D/HN67LXH,2023-09-05 15:33:26.299811,0,,0,Sold,0,60.0,£13500 - £17300
483,BMW,318i,2018,15999,Saloon,Auto,Petrol,White,40746,N/A,YG18NEF,https://www.cargiant.co.uk/car/BMW/318i/YG18NEF,2023-09-11 17:11:35.120614,0,,0,Sold,0,73.0,£13300 - £16990
43,BMW,320i,2017,15999,Saloon,Auto,Petrol,Black,31625,N/A,MM17SSV,https://www.cargiant.co.uk/car/BMW/320i/MM17SSV,2023-09-05 15:33:26.308201,0,,0,Sold,0,55.0,£13490 - £17988
45,BMW,330e,2018,15999,Saloon,Auto,Hybrid,Black,80221,N/A,RE18MWL,https://www.cargiant.co.uk/car/BMW/330e/RE18MWL,2023-09-05 15:33:26.310691,0,,0,Sold,0,91.0,£4560 - £17095
312,BMW,X1,2019,15999,SUV,Manual,Diesel,Black,71205,N/A,FH19GXY,https://www.cargiant.co.uk/car/BMW/X1/FH19GXY,2023-09-05 16:15:04.521337,0,,0,Sold,0,35.0,£14000 - £19694
526,BMW,X3,2016,15999,SUV,Auto,Diesel,Black,81210,N/A,BV16NBX,https://www.cargiant.co.uk/car/BMW/X3/BV16NBX,2023-09-13 07:36:31.271782,0,,0,Sold,1,60.0,£12999 - £17995
49,BMW,118i,2018,16299,Hatch,Auto,Petrol,Blue,57033,5,YF18BND,https://www.cargiant.co.uk/car/BMW/118i/YF18BND,2023-09-05 15:33:26.318713,0,,0,Sold,0,111.0,£10999 - £15770
373,BMW,318D,2017,16499,Saloon,Auto,Diesel,White,30952,N/A,YB17LRN,https://www.cargiant.co.uk/car/BMW/318D/YB17LRN,2023-09-07 12:21:22.944926,0,,0,Sold,0,85.0,£13650 - £16999
