id,Manufacturer,URL,Model,CarStatus,Year,Price,ValuationPercentage,ValuationRange,Mileage,Body Type,Transmission,Fuel,Color,Doors,Reg,DateUpdated,OldPrice,OldDate,NumberOfPriceReductions,NumberReserved,DateCarAdded,DaysAdded
3,BMW,https://www.cargiant.co.uk/car/BMW/316D/HN67CEJ,316D,AVAILABLE IN 5 DAYS,2017,10499,,,69400,Saloon,Manual,Diesel,Met Grey,N/A,HN67CEJ,2023-09-17 20:41:48.578633,0,,0,0,2023-09-17,0.0
12,BMW,https://www.cargiant.co.uk/car/BMW/320D/LS16ULT,320D,AVAILABLE IN 6 DAYS,2016,12499,,,58492,Saloon,Auto,Diesel,White,N/A,LS16ULT,2023-09-17 20:41:48.603807,0,,0,0,2023-09-17,0.0
15,BMW,https://www.cargiant.co.uk/car/BMW/318i/YA67AOC,318i,AVAILABLE IN 5 DAYS,2017,12999,,,72396,Saloon,Auto,Petrol,Blue,N/A,YA67AOC,2023-09-17 20:41:48.615204,0,,0,0,2023-09-17,0.0
16,BMW,https://www.cargiant.co.uk/car/BMW/318i/LC67USU,318i,AVAILABLE IN 5 DAYS,2017,12999,,,67202,Saloon,Auto,Petrol,Met Red,N/A,LC67USU,2023-09-17 20:41:48.617556,0,,0,0,2023-09-17,0.0
21,BMW,https://www.cargiant.co.uk/car/BMW/420i/HX66ZSW,420i,AVAILABLE IN 5 DAYS,2016,13799,,,53650,Coupe,Auto,Petrol,Black,N/A,HX66ZSW,2023-09-17 20:41:48.635161,0,,0,0,2023-09-17,0.0
27,BMW,https://www.cargiant.co.uk/car/BMW/320i/LR17RJO,320i,AVAILABLE IN 5 DAYS,2017,14299,,,54622,Saloon,Auto,Petrol,Met Grey,N/A,LR17RJO,2023-09-17 20:41:48.655586,0,,0,0,2023-09-17,0.0
30,BMW,https://www.cargiant.co.uk/car/BMW/420i/YF17WNW,420i,AVAILABLE IN 5 DAYS,2017,14499,,,37147,Coupe,Auto,Petrol,Met Grey,N/A,YF17WNW,2023-09-17 20:41:48.678574,0,,0,0,2023-09-17,0.0
43,BMW,https://www.cargiant.co.uk/car/BMW/318i/YD68TEF,318i,AVAILABLE IN 5 DAYS,2019,14999,,,48381,Saloon,Auto,Petrol,Black,N/A,YD68TEF,2023-09-17 20:41:48.723236,0,,0,0,2023-09-17,0.0
124,BMW,https://www.cargiant.co.uk/car/BMW/318D/LG70UYD,318D,AVAILABLE IN 6 DAYS,2020,18799,,,59822,Saloon,Auto,Hybrid,Silver,N/A,LG70UYD,2023-09-17 20:41:48.985021,0,,0,0,2023-09-17,0.0
135,BMW,https://www.cargiant.co.uk/car/BMW/530e/KV68LWY,530e,AVAILABLE IN 6 DAYS,2018,19299,,,72600,Saloon,Auto,Hybrid,Blue,N/A,KV68LWY,2023-09-17 20:41:49.024688,0,,0,0,2023-09-17,0.0
153,BMW,https://www.cargiant.co.uk/car/BMW/330e/AO69JZD,330e,AVAILABLE IN 5 DAYS,2019,19999,,,66091,Saloon,Auto,Hybrid,Blue,N/A,AO69JZD,2023-09-17 20:41:49.086310,0,,0,0,2023-09-17,0.0
157,BMW,https://www.cargiant.co.uk/car/BMW/520D/LP19LKA,520D,AVAILABLE IN 5 DAYS,2019,19999,,,28441,Saloon,Auto,Diesel,Sophisto Grey,N/A,LP19LKA,2023-09-17 20:41:49.100548,0,,0,0,2023-09-17,0.0
292,Lexus,https://www.cargiant.co.uk/car/Lexus/IS-300H/CF17FSL,IS 300H,AVAILABLE IN 5 DAYS,2017,14999,,,61995,Saloon,Auto,Hybrid,Met Grey,N/A,CF17FSL,2023-09-17 20:41:49.700614,0,,0,0,2023-09-17,0.0
296,Lexus,https://www.cargiant.co.uk/car/Lexus/CT-200h/YE69JJX,CT 200h,AVAILABLE IN 5 DAYS,2019,16799,,,42201,Hatch,Auto,Hybrid,Blue,5,YE69JJX,2023-09-17 20:41:49.718358,0,,0,0,2023-09-17,0.0
298,Lexus,https://www.cargiant.co.uk/car/Lexus/CT-200h/WN70OPE,CT 200h,AVAILABLE IN 6 DAYS,2020,17499,,,24395,Hatch,Auto,Hybrid,Grey,5,WN70OPE,2023-09-17 20:41:49.726341,0,,0,0,2023-09-17,0.0
300,Lexus,https://www.cargiant.co.uk/car/Lexus/IS-300H/RE20DJJ,IS 300H,AVAILABLE IN 5 DAYS,2020,17799,,,54734,Saloon,Auto,Hybrid,Met Bronze,N/A,RE20DJJ,2023-09-17 20:41:49.737469,0,,0,0,2023-09-17,0.0
305,Lexus,https://www.cargiant.co.uk/car/Lexus/CT-200h/DA20AXR,CT 200h,AVAILABLE IN 5 DAYS,2020,18999,,,14805,Hatch,Auto,Hybrid,Black,5,DA20AXR,2023-09-17 20:41:49.758098,0,,0,0,2023-09-17,0.0
164,Mercedes,https://www.cargiant.co.uk/car/Mercedes/E220/AV65HBO,E220,AVAILABLE IN 2 DAYS,2015,12999,,,64951,Saloon,Auto,Diesel,White,N/A,AV65HBO,2023-09-17 20:41:49.122072,0,,0,0,2023-09-17,0.0
166,Mercedes,https://www.cargiant.co.uk/car/Mercedes/CLA/SJ18UYB,CLA,AVAILABLE IN 6 DAYS,2018,12999,,,78677,Saloon,Manual,Petrol,White,N/A,SJ18UYB,2023-09-17 20:41:49.127399,0,,0,0,2023-09-17,0.0
176,Mercedes,https://www.cargiant.co.uk/car/Mercedes/C220/LT66MUO,C220,AVAILABLE IN 6 DAYS,2016,15499,,,55231,Saloon,Auto,Diesel,Black,N/A,LT66MUO,2023-09-17 20:41:49.159455,0,,0,0,2023-09-17,0.0
181,Mercedes,https://www.cargiant.co.uk/car/Mercedes/C350e/AF68ODU,C350e,AVAILABLE IN 5 DAYS,2018,15999,,,62101,Saloon,Auto,Hybrid,Blue,N/A,AF68ODU,2023-09-17 20:41:49.180124,0,,0,0,2023-09-17,0.0
195,Mercedes,https://www.cargiant.co.uk/car/Mercedes/C220/KW19OSN,C220,AVAILABLE IN 5 DAYS,2019,17499,,,56858,Saloon,Auto,Diesel,Met Grey,N/A,KW19OSN,2023-09-17 20:41:49.225020,0,,0,0,2023-09-17,0.0
221,Mercedes,https://www.cargiant.co.uk/car/Mercedes/C220/HY66FNF,C220,AVAILABLE IN 6 DAYS,2016,18999,,,44210,Cabriolet / Convertible,Auto,Diesel,Met Black,N/A,HY66FNF,2023-09-17 20:41:49.319548,0,,0,0,2023-09-17,0.0
226,Mercedes,https://www.cargiant.co.uk/car/Mercedes/C200/KM69GPO,C200,AVAILABLE IN 6 DAYS,2019,19499,,,43711,Saloon,Auto,Petrol,Black,N/A,KM69GPO,2023-09-17 20:41:49.339221,0,,0,0,2023-09-17,0.0
231,Mercedes,https://www.cargiant.co.uk/car/Mercedes/C200/KW20VJX,C200,AVAILABLE IN 6 DAYS,2020,19999,,,43562,Saloon,Auto,Petrol,Black,N/A,KW20VJX,2023-09-17 20:41:49.360754,0,,0,0,2023-09-17,0.0
